Tiêu đề,Mô tả,Công ty,Lương,Địa chỉ làm việc,Vị trí tuyển dụng,Tên công ty,Địa điểm,Hạn nộp,URL
Nhân viên Thiết Kế – Designer (Ưu tiên Sinh Viên),"MÔ TẢ CÔNG VIỆC:• Thiết kế hình ảnh cho chiến dịch marketing• Thiết kế Banner, Poster, Catalogue, Logo• Sử dụng Photoshop, edit video cơ bản→ Chỉ cần biết cơ bản, sẽ được đào tạo thêm!",Công ty TNHH Công nghệ và Truyền thông GO ADS tuyển dụngNhân viên DESIGN– Phỏng vấn đi làm ngay,LƯƠNG – CHẾ ĐỘ:• Lương cứng đến 6 triệu + % hoa hồng (Thu nhập đến 10 triệu/tháng)• Thưởng % hoa hồng dự án (Tổng thu nhập 8 – 10 triệu)• Đóng BHYT + BHXH đầy đủ• Thưởng hiệu suất hàng tháng,"K575/4 Tôn Đức Thắng, Hòa Minh, Liên Chiểu, Đà NẵngThời gian làm việc:• Thứ 2 – Thứ 6: 8h – 11h30 | 13h30 – 17h• Nghỉ Thứ 7, Chủ nhật và lễ",,,,,
,,,,,Nhân viên Video Editor,Công Ty Cổ Phần Bất Động Sản BHS Miền Trung,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Tuyển idol Live đội nhóm TikTok,Star Program Company,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Nhân viên Marketing (9-11 triệu),Công ty TNHH MS Hải Đăng,Cẩm Lệ,15/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Cộng tác viên IT,Millionaire News,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Chuyên viên SEO Marketing,Công ty TNHH TMDV La Bàn,Ngũ Hành Sơn,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,"Nhân viên Ads (Facebook, Tiktok, Google)",Công ty Cổ Phần La Bàn Corp,Ngũ Hành Sơn,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,"Nhân viên Video Editor (Fulltime, Parttime)",Công ty TNHH DNGBIKE,Thanh Khê,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Trưởng nhóm Quay Dựng Video TikTok (Video Editor),Công Ty TNHH Ecoparrots,Cẩm Lệ,30/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Nhân viên Thiết Kế – Designer (Ưu tiên Sinh Viên),Công ty TNHH Công nghệ và Truyền thông GO ADS,Liên Chiểu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Nhân viên Quay dựng,Nhan Tam Premium - Dental Clinic,Ngũ Hành Sơn,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Nhân viên Kỹ thuật Văn Phòng,Công Ty TNHH MTV Công Nghệ Cao Rio Vina,Thanh Khê,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Nhân viên Thiết Kế Đồ Họa (9-12 triệu),Công ty Thương mại & Dịch vụ DAT,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Nhân viên Marketing (10-15 triệu),Công ty Thương mại & Dịch vụ DAT,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,"Nhân viên Marketing (Chạy Quảng cáo Facebook, TikTok)",Công Ty TNHH Qn92 Media,Thanh Khê,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Chuyên Viên Chăm Sóc Fanpage (có đào tạo),Công Ty TNHH Qn92 Media,Thanh Khê,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Nhân viên Thiết Kế,CÔNG TY QUẢNG CÁO LÊ NGUYỄN,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Kỹ Thuật Viên Sửa Chữa Điện Thoại,Hệ Thống Di Động Xanh,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Nhân viên Digital Marketing (10-15 triệu),Công ty Thương mại & Dịch vụ DAT,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Account Marketing nền tảng TikTok – Facebook,TRUNG HUY GROUP,Liên Chiểu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Chuyên Viên Kinh Doanh (Lĩnh vực CNTT),Công ty TNHH Thịnh Tiến Đà Nẵng,Hải Châu,30/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Graphic Designer – Motion Graphic,Công ty Cổ Phần Tập Đoàn Quản lý Vốn VND,Hải Châu,30/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Chuyên viên Marketing ADS,Công ty TNHH Haviland House,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Support POD/Dropship,Team TiE-Commer,Liên Chiểu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Nhân viên Quay chụp Sản phẩm,Công ty TNHH Đầu tư và Thương mại Nguyên Thịnh,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
,,,,,Chuyên viên Digital Marketing,Công ty Cổ phẩn Bất động sản Emerrald,Hải Châu,31/05/2025,https://www.danang43.vn/nganh-nghe/cong-nghe-thong-tin
